Date,Transaction Description,Category,Amount,Type
2024-04-26,Peace wind guess.,Rent,359.78,Expense
2024-04-26,Because career course.,Travel,1718.84,Expense
2024-04-30,Teacher decide possible.,Investment,2656.0,Income
2024-05-02,Success teach mrs beat.,Rent,1457.58,Expense
2024-05-03,Listen against coach.,Food & Drink,1627.16,Expense
2024-05-04,White likely teacher one.,Entertainment,1813.54,Expense
2024-05-04,Notice street anything.,Salary,1311.28,Expense
2024-05-05,Piece require.,Other,2329.0,Income
2024-05-05,Say other never fact.,Travel,276.42,Expense
2024-05-14,Main opportunity particularly question.,Rent,799.6,Expense
2024-05-15,Research month instead.,Entertainment,1697.48,Expense
2024-05-17,As throughout individual list manager.,Utilities,1516.84,Expense
2024-05-20,Recently again explain court.,Investment,1967.0,Income
2024-05-22,Discussion detail training fund.,Utilities,1474.48,Expense
2024-05-23,Third rich hospital.,Health & Fitness,90.44,Expense
2024-05-25,Somebody son suddenly perform.,Entertainment,135.09,Expense
2024-05-26,Project can.,Food & Drink,1340.49,Expense
2024-05-27,Paper beyond indeed.,Health & Fitness,782.31,Expense
2024-05-27,Doctor news yourself.,Food & Drink,89.41,Expense
2024-05-31,Ground city still.,Rent,1410.44,Expense
2024-06-01,Southern front.,Travel,1671.4,Expense
2024-06-02,Dinner no main year size.,Utilities,759.55,Expense
2024-06-02,Environment character real middle prove.,Rent,1038.16,Expense
2024-06-03,Sometimes while sense window.,Entertainment,1037.58,Expense
2024-06-04,Among black picture that treat.,Health & Fitness,978.85,Expense
2024-06-06,Remain seven marriage.,Food & Drink,1008.66,Expense
2024-06-07,Positive free case.,Investment,2384.0,Income
2024-06-09,Wide shoulder according strong.,Other,2232.0,Income
2024-06-10,Expert commercial entire resource.,Investment,3467.0,Income
2024-06-12,Picture early send morning.,Rent,1325.61,Expense
2024-06-13,Soon including important.,Health & Fitness,1443.31,Expense
2024-06-13,Some gun ahead certainly act.,Salary,963.25,Expense
2024-06-14,Be fire.,Shopping,54.67,Expense
2024-06-15,Article service produce political.,Investment,1603.0,Income
2024-06-16,Within woman.,Food & Drink,1782.69,Expense
2024-06-17,Information though red.,Investment,2615.0,Income
2024-06-21,Training account evidence month.,Shopping,1202.72,Expense
2024-06-21,Land day name small.,Food & Drink,1758.23,Expense
2024-06-22,Thought sit identify culture.,Travel,1895.04,Expense
2024-06-23,Already free.,Salary,1735.93,Expense
2024-06-23,Yeah exist behavior necessary miss.,Other,1669.0,Income
2024-06-23,Agreement someone.,Utilities,1250.19,Expense
2024-06-23,Strategy fight institution.,Utilities,1451.13,Expense
2024-06-23,Rule success.,Salary,1197.1,Expense
2024-07-01,Medical buy series walk large.,Other,3657.0,Income
2024-07-05,Law work.,Investment,2157.0,Income
2024-07-06,Research visit program suddenly doctor.,Shopping,1654.76,Expense
2024-07-07,Project spring of.,Utilities,956.98,Expense
2024-07-07,Mind easy foreign old.,Food & Drink,1756.73,Expense
2024-07-07,Better republican stock bank.,Rent,195.45,Expense
2024-07-07,Thousand live land hard.,Food & Drink,1794.97,Expense
2024-07-13,Open million house enough.,Shopping,1048.87,Expense
2024-07-13,You ready way rule.,Food & Drink,1398.31,Expense
2024-07-16,Certain camera represent.,Salary,1581.22,Expense
2024-07-20,Tell brother defense list second.,Rent,856.72,Expense
2024-07-21,Tv budget system book.,Entertainment,1821.07,Expense
2024-07-22,Face mission brother figure hear.,Other,2611.0,Income
2024-07-23,Agreement central six instead.,Investment,4780.0,Income
2024-07-23,Democratic standard major.,Investment,3572.0,Income
2024-07-25,Give that individual of not.,Health & Fitness,823.6,Expense
2024-07-26,Little result paper seven.,Other,2577.0,Income
2024-07-26,Seven project chance road.,Shopping,1133.69,Expense
2024-07-26,Professor important do house must.,Shopping,1512.39,Expense
2024-07-26,Position tend religious.,Salary,365.65,Expense
2024-07-27,Someone religious night buy nice.,Salary,515.02,Expense
2024-07-27,My serious whatever miss seek.,Health & Fitness,1550.65,Expense
2024-07-27,Build view.,Utilities,1711.45,Expense
2024-07-28,Ever day.,Entertainment,898.72,Expense
2024-07-28,Be move fly open.,Utilities,209.55,Expense
2024-07-29,Future congress.,Health & Fitness,1603.7,Expense
2024-07-29,Fish either boy between collection.,Food & Drink,329.87,Expense
2024-07-29,Eight bed fill.,Food & Drink,1610.7,Expense
2024-07-30,Arrive which consider.,Salary,1852.46,Expense
2024-07-30,Hope floor include.,Rent,533.55,Expense
2024-08-01,Heart still building.,Food & Drink,1451.74,Expense
2024-08-02,Sell only manage.,Shopping,1231.79,Expense
2024-08-02,We especially five network.,Food & Drink,1891.97,Expense
2024-08-03,Ahead plant trial affect.,Salary,883.55,Expense
2024-08-03,Push east never size fight.,Travel,397.55,Expense
2024-08-08,Base player data whose.,Entertainment,1234.23,Expense
2024-08-09,World site mr interest treatment.,Health & Fitness,486.12,Expense
2024-08-11,A let.,Investment,1211.0,Income
2024-08-14,A value lot.,Shopping,712.72,Expense
2024-08-14,Yourself successful defense subject.,Entertainment,1040.31,Expense
2024-08-14,Claim move.,Rent,1839.16,Expense
2024-08-15,Bed recognize store.,Health & Fitness,701.48,Expense
2024-08-22,There decision measure.,Entertainment,1216.66,Expense
2024-08-23,Play woman remain event.,Other,538.0,Income
2024-08-25,Decision where foreign trial.,Shopping,1017.41,Expense
2024-08-25,Participant above.,Travel,686.53,Expense
2024-08-25,Including time reflect.,Other,4906.0,Income
2024-08-27,Ball theory prepare much throughout.,Travel,1391.44,Expense
2024-08-27,Good spend still.,Salary,1542.23,Expense
2024-08-28,Concern should recent across.,Salary,1366.37,Expense
2024-08-28,View know develop after.,Food & Drink,969.12,Expense
2024-08-28,Course staff personal space.,Shopping,1270.99,Expense
2024-08-30,Woman whose already.,Entertainment,1602.32,Expense
2024-09-01,Decide cultural start how thank.,Health & Fitness,1037.84,Expense
2024-09-02,Management necessary process not.,Other,2533.0,Income
2024-09-05,Assume campaign assume.,Shopping,1350.66,Expense
2024-09-05,Talk thing rock ever summer.,Rent,1113.56,Expense
2024-09-05,Pass quite third ability interview.,Other,3396.0,Income
2024-09-05,Item yet ever quite.,Travel,373.74,Expense
2024-09-06,Guess service this different.,Entertainment,1003.01,Expense
2024-09-07,Mother first hot free.,Investment,2674.0,Income
2024-09-08,Wrong difficult.,Entertainment,1671.53,Expense
2024-09-10,True culture.,Health & Fitness,320.43,Expense
2024-09-13,As personal agreement.,Investment,4535.0,Income
2024-09-15,Or phone.,Food & Drink,1697.54,Expense
2024-09-16,East list when.,Health & Fitness,989.76,Expense
2024-09-17,Mind door authority outside.,Travel,986.7,Expense
2024-09-17,Personal often.,Travel,801.78,Expense
2024-09-17,True help.,Utilities,117.75,Expense
2024-09-18,Artist sort area.,Salary,1879.91,Expense
2024-09-21,Big argue.,Other,3725.0,Income
2024-09-22,Sure i pay.,Utilities,919.82,Expense
2024-09-23,Ten skin perhaps.,Other,3085.0,Income
2024-09-24,Less into per big.,Food & Drink,1351.47,Expense
2024-09-25,Military onto blue activity.,Rent,657.62,Expense
2024-09-26,Smile cover of pm eight.,Travel,382.43,Expense
2024-09-26,Right know during someone.,Travel,947.98,Expense
2024-09-27,Find job where.,Health & Fitness,375.99,Expense
2024-09-27,On must certainly.,Shopping,1404.42,Expense
2024-10-01,Owner fact wife.,Shopping,566.46,Expense
2024-10-01,Price certain down standard nice.,Investment,2372.0,Income
2024-10-02,Gas with policy cut.,Travel,1610.13,Expense
2024-10-02,Country little reality level.,Shopping,400.17,Expense
2024-10-03,Not friend federal forget bit.,Utilities,951.24,Expense
2024-10-04,Detail about development discover.,Other,4592.0,Income
2024-10-04,Lose shoulder spring.,Other,4486.0,Income
2024-10-07,Hundred step according.,Food & Drink,802.82,Expense
2024-10-08,Group never.,Food & Drink,438.78,Expense
2024-10-09,Key place tree.,Rent,905.21,Expense
2024-10-10,Wish current.,Health & Fitness,727.01,Expense
2024-10-10,Despite energy company.,Travel,694.84,Expense
2024-10-11,Condition again successful.,Health & Fitness,1736.06,Expense
2024-10-12,Story case.,Entertainment,1157.94,Expense
2024-10-15,Very figure drive special.,Utilities,1958.95,Expense
2024-10-17,With young think there assume.,Health & Fitness,1349.65,Expense
2024-10-17,Some court her.,Salary,1780.37,Expense
2024-10-18,Outside with each animal.,Travel,932.87,Expense
2024-10-19,Take family chance.,Utilities,1284.76,Expense
2024-10-19,Picture evidence.,Shopping,1266.23,Expense
2024-10-21,Why though decide bank likely.,Rent,167.43,Expense
2024-10-21,Meet seem population.,Health & Fitness,640.59,Expense
2024-10-21,Material less focus hear.,Travel,1214.72,Expense
2024-10-23,Listen ok point so.,Salary,1564.14,Expense
2024-10-24,Detail data tell.,Salary,833.84,Expense
2024-10-28,Fill thousand number.,Investment,1524.0,Income
2024-11-01,Nearly care base.,Travel,1881.47,Expense
2024-11-02,Goal once let perform international.,Rent,429.04,Expense
2024-11-03,Important source first him.,Rent,136.95,Expense
2024-11-03,Doctor population grow bar.,Food & Drink,62.47,Expense
2024-11-11,National back everybody direction budget.,Rent,216.82,Expense
2024-11-11,National free.,Rent,1313.12,Expense
2024-11-12,Few spring raise.,Travel,466.42,Expense
2024-11-13,Relationship your your.,Salary,1256.7,Expense
2024-11-13,Across federal state.,Investment,734.0,Income
2024-11-13,State serious activity pressure.,Other,3164.0,Income
2024-11-13,Dinner rich decide do.,Salary,1950.21,Expense
2024-11-14,Serious reveal left social fine.,Travel,1101.61,Expense
2024-11-14,Show recently decide last.,Investment,4240.0,Income
2024-11-16,Hear officer.,Shopping,1051.69,Expense
2024-11-17,Wall act special.,Travel,1818.76,Expense
2024-11-17,Different international sell several.,Entertainment,1611.37,Expense
2024-11-17,For age size.,Health & Fitness,830.29,Expense
2024-11-17,With yes nothing.,Investment,500.0,Income
2024-11-18,Woman daughter hospital move.,Utilities,694.33,Expense
2024-11-18,Board notice later thus.,Food & Drink,1378.66,Expense
2024-11-19,Bit need allow.,Salary,606.22,Expense
2024-11-20,Cost attorney.,Travel,1198.04,Expense
2024-11-20,Day fact modern.,Health & Fitness,385.26,Expense
2024-11-22,Happy action.,Shopping,795.56,Expense
2024-11-23,Hospital writer can industry.,Other,3599.0,Income
2024-11-24,Western tend candidate day.,Rent,850.26,Expense
2024-11-24,City offer financial data.,Travel,576.51,Expense
2024-11-24,Cut yard knowledge.,Travel,831.68,Expense
2024-11-25,Space moment travel these least.,Utilities,281.88,Expense
2024-11-25,Say explain.,Other,4209.0,Income
2024-11-25,Red republican father party.,Salary,383.7,Expense
2024-11-26,Eat tonight run leader.,Investment,4882.0,Income
2024-11-29,Believe recognize analysis those citizen.,Investment,2811.0,Income
2024-11-30,Project at risk.,Salary,1456.94,Expense
2024-12-02,In seven building hard.,Utilities,39.3,Expense
2024-12-05,Short for late education.,Shopping,630.04,Expense
2024-12-06,Left available.,Health & Fitness,932.73,Expense
2024-12-09,Gas human create also.,Health & Fitness,169.64,Expense
2024-12-11,Remember carry.,Utilities,121.52,Expense
2024-12-12,Leave bar prevent require.,Rent,1090.95,Expense
2024-12-12,Likely evidence claim.,Other,3625.0,Income
2024-12-15,Beyond family movement hospital back.,Rent,1949.45,Expense
2024-12-16,Child group describe.,Shopping,1544.74,Expense
2024-12-19,Democratic recent student specific political.,Food & Drink,406.37,Expense
2024-12-19,Real know our any.,Rent,1047.07,Expense
2024-12-21,Up hear draw.,Salary,784.35,Expense
2024-12-23,Instead writer.,Health & Fitness,325.64,Expense
2024-12-28,Quite as when.,Rent,514.09,Expense
2024-12-28,Right analysis mention.,Entertainment,727.25,Expense
2024-12-28,No couple debate must.,Investment,1425.0,Income
2024-12-29,Discussion black follow.,Shopping,655.78,Expense
2024-12-29,Pressure activity defense detail.,Other,1480.0,Income
