ユーザID,日付,カテゴリ,単価,数量,金額,支払区分,店舗場所,収支
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-11-11,Shopping,255.14,7,1785.98,Other,高知県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-02-27,Travel,262.38,5,1311.9,Mobile Payment,その他,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-06-06,Rent,2743.67,6,16462.02,Cash,香川県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-03-31,Entertainment,167.11,8,1336.88,Mobile Payment,山形県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-03-07,Travel,2572.34,9,23151.06,Other,青森県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-04-13,Food & Drink,193.81,5,969.05,Other,福岡県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-11-28,Health & Fitness,1699.09,10,16990.9,Cash,茨城県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-12-17,Travel,3509.63,8,28077.04,Credit Card,東京都,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-11-15,Health & Fitness,1160.7,3,3482.1,Other,愛知県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-07-15,Entertainment,468.95,7,3282.65,Other,沖縄県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-08-17,Entertainment,359.09,8,2872.72,Mobile Payment,山形県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-09-27,Shopping,1619.23,10,16192.3,Mobile Payment,北海道,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-07-28,Shopping,242.46,2,484.92,Mobile Payment,岩手県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-04-17,Investment,8673.7,4,34694.8,Cash,愛媛県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-08-31,Travel,4548.92,7,31842.44,Cash,山口県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-05-19,Shopping,1340.59,6,8043.54,Cash,富山県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-05-04,Rent,2463.64,2,4927.28,Credit Card,徳島県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-08-11,Entertainment,108.46,6,650.76,Cash,千葉県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-08-09,Travel,4096.89,9,36872.01,Cash,秋田県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-10-25,Travel,4033.83,5,20169.15,Credit Card,三重県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-08-14,Entertainment,10.9,8,87.2,Mobile Payment,山形県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-10-08,Travel,2285.69,6,13714.14,Other,東京都,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-03-05,Shopping,985.59,1,985.59,Other,徳島県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-10-22,Rent,2933.36,2,5866.72,Cash,東京都,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-12-08,Utilities,37.65,1,37.65,Mobile Payment,兵庫県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-08-04,Investment,8717.33,1,8717.33,Credit Card,大阪府,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-03-28,Investment,7509.6,7,52567.2,Mobile Payment,埼玉県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-03-08,Utilities,4637.59,10,46375.9,Cash,熊本県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-12-12,Rent,1004.22,7,7029.54,Cash,高知県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-10-27,Travel,2766.01,8,22128.08,Mobile Payment,愛媛県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-07-08,Rent,2848.77,9,25638.93,Other,青森県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-10-18,Rent,1770.98,4,7083.92,Credit Card,福岡県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-06-22,Shopping,416.29,3,1248.87,Cash,栃木県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-02-28,Investment,6116.32,8,48930.56,Mobile Payment,山口県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-03-31,Investment,1638.2,8,13105.6,Credit Card,オンライン,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-06-13,Entertainment,16.92,7,118.44,Credit Card,島根県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-06-07,Shopping,1630.05,10,16300.5,Mobile Payment,奈良県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-08-14,Investment,1551.34,8,12410.72,Credit Card,岐阜県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-11-19,Travel,1914.98,4,7659.92,Other,和歌山県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-12-17,Rent,2758.47,9,24826.23,Cash,富山県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-10-04,Shopping,1254.88,1,1254.88,Mobile Payment,千葉県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-09-01,Investment,887.8,9,7990.2,Credit Card,福井県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-08-10,Health & Fitness,522.94,6,3137.64,Other,神奈川県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-10-05,Food & Drink,328.62,4,1314.48,Other,静岡県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-11-10,Investment,1748.68,6,10492.08,Mobile Payment,埼玉県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-08-03,Travel,3525.03,10,35250.3,Mobile Payment,大分県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-08-19,Food & Drink,92.67,9,834.03,Mobile Payment,山形県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-02-26,Rent,1765.71,3,5297.13,Cash,三重県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-03-17,Utilities,894.6,5,4473.0,Credit Card,福島県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-03-19,Health & Fitness,1587.1,8,12696.8,Mobile Payment,山口県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-01-19,Rent,1404.55,1,1404.55,Mobile Payment,東京都,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-06-30,Food & Drink,368.49,10,3684.9,Mobile Payment,長野県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-08-30,Utilities,3962.9,8,31703.2,Other,広島県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-11-28,Investment,2316.77,5,11583.85,Mobile Payment,長崎県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-10-01,Shopping,673.07,7,4711.49,Credit Card,徳島県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-04-04,Food & Drink,457.18,2,914.36,Credit Card,沖縄県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-11-07,Investment,5243.9,1,5243.9,Mobile Payment,埼玉県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-06-02,Rent,1391.91,3,4175.73,Other,富山県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-11-27,Food & Drink,230.31,4,921.24,Mobile Payment,奈良県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-12-23,Investment,5797.42,1,5797.42,Other,奈良県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-08-18,Utilities,3704.79,6,22228.74,Cash,兵庫県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-08-02,Investment,1902.26,8,15218.08,Other,滋賀県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-07-13,Health & Fitness,230.95,7,1616.65,Cash,兵庫県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-05-27,Rent,2489.1,2,4978.2,Credit Card,オンライン,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-07-24,Investment,6043.02,4,24172.08,Other,栃木県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-07-21,Travel,2188.12,3,6564.36,Credit Card,愛媛県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-09-08,Entertainment,458.4,2,916.8,Credit Card,山口県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-02-16,Utilities,1004.94,6,6029.64,Mobile Payment,愛知県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-02-27,Health & Fitness,472.99,6,2837.94,Cash,熊本県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-09-14,Shopping,1837.31,5,9186.55,Other,山形県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-08-05,Utilities,4980.8,1,4980.8,Other,福島県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-11-03,Travel,2404.37,6,14426.22,Credit Card,宮城県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-09-02,Food & Drink,18.84,9,169.56,Mobile Payment,青森県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-11-15,Rent,2327.69,3,6983.07,Cash,その他,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-09-21,Entertainment,37.35,5,186.75,Mobile Payment,奈良県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-02-16,Investment,9690.35,4,38761.4,Other,秋田県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-04-08,Utilities,2010.12,4,8040.48,Other,富山県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-07-06,Utilities,3472.76,10,34727.6,Credit Card,和歌山県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-02-04,Health & Fitness,1685.84,9,15172.56,Other,熊本県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-09-13,Travel,379.87,9,3418.83,Credit Card,和歌山県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-07-06,Travel,2327.95,3,6983.85,Mobile Payment,オンライン,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-09-13,Investment,8818.03,5,44090.15,Other,三重県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-03-10,Rent,2012.39,3,6037.17,Credit Card,石川県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-12-27,Utilities,3465.7,1,3465.7,Credit Card,静岡県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-10-07,Rent,2556.49,10,25564.9,Other,三重県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-12-19,Food & Drink,113.9,5,569.5,Mobile Payment,奈良県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-01-17,Food & Drink,102.96,7,720.72,Cash,富山県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-03-13,Travel,3086.14,10,30861.4,Mobile Payment,岐阜県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-03-10,Health & Fitness,740.63,1,740.63,Other,沖縄県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-08-21,Investment,366.18,9,3295.62,Cash,千葉県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-08-09,Health & Fitness,1610.78,2,3221.56,Other,山口県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-06-10,Utilities,2681.75,5,13408.75,Credit Card,石川県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-04-09,Investment,6267.28,10,62672.8,Mobile Payment,東京都,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-08-01,Shopping,1709.99,10,17099.9,Mobile Payment,奈良県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-11-01,Utilities,688.4,9,6195.6,Other,栃木県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-03-01,Entertainment,457.04,1,457.04,Cash,沖縄県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-01-14,Rent,1090.34,10,10903.4,Cash,山形県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-06-15,Utilities,3900.7,8,31205.6,Cash,山形県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-10-25,Shopping,1022.95,4,4091.8,Mobile Payment,奈良県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-09-21,Food & Drink,228.67,4,914.68,Mobile Payment,高知県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-03-02,Shopping,392.93,9,3536.37,Mobile Payment,滋賀県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-11-16,Health & Fitness,505.71,9,4551.39,Credit Card,その他,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-02-07,Utilities,3843.12,1,3843.12,Other,広島県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-04-06,Utilities,4111.45,8,32891.6,Cash,鳥取県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-11-07,Entertainment,248.51,4,994.04,Cash,佐賀県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-11-29,Rent,1355.44,8,10843.52,Cash,千葉県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-07-23,Investment,1040.9,9,9368.1,Mobile Payment,宮崎県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-12-23,Health & Fitness,1224.15,6,7344.9,Other,奈良県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-03-12,Investment,5022.73,4,20090.92,Mobile Payment,沖縄県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-09-21,Travel,2257.66,7,15803.62,Mobile Payment,香川県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-04-12,Travel,2700.45,6,16202.7,Other,鳥取県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-10-29,Shopping,1331.47,8,10651.76,Other,鹿児島県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-05-05,Investment,5391.6,7,37741.2,Mobile Payment,東京都,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-02-16,Entertainment,345.19,2,690.38,Credit Card,長野県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-10-06,Utilities,3411.96,1,3411.96,Mobile Payment,千葉県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-06-03,Rent,2519.01,4,10076.04,Credit Card,滋賀県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-05-05,Shopping,1437.74,2,2875.48,Credit Card,福井県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-10-04,Investment,1332.48,1,1332.48,Other,岐阜県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-12-29,Investment,6260.38,8,50083.04,Other,静岡県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-02-22,Food & Drink,450.9,3,1352.7,Mobile Payment,北海道,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-01-30,Health & Fitness,568.86,7,3982.02,Other,香川県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-06-06,Travel,878.23,1,878.23,Other,鳥取県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-06-13,Health & Fitness,1624.63,9,14621.67,Credit Card,山口県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-10-11,Entertainment,263.41,9,2370.69,Credit Card,北海道,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-02-03,Health & Fitness,1288.64,9,11597.76,Mobile Payment,東京都,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-05-14,Investment,2669.82,1,2669.82,Mobile Payment,鳥取県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-09-03,Rent,2944.89,6,17669.34,Cash,徳島県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-01-13,Entertainment,158.25,7,1107.75,Other,高知県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-10-31,Health & Fitness,962.71,2,1925.42,Credit Card,岐阜県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-04-07,Travel,534.31,5,2671.55,Mobile Payment,鹿児島県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-08-02,Investment,1182.43,2,2364.86,Cash,山形県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-07-15,Entertainment,467.1,2,934.2,Cash,滋賀県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-02-18,Entertainment,27.19,6,163.14,Mobile Payment,徳島県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-12-16,Rent,2941.7,2,5883.4,Credit Card,奈良県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-03-03,Travel,1713.02,2,3426.04,Cash,青森県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-01-04,Entertainment,199.91,10,1999.1,Credit Card,神奈川県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-06-28,Utilities,40.75,6,244.5,Mobile Payment,鹿児島県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-02-03,Health & Fitness,1364.88,2,2729.76,Credit Card,福井県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-05-29,Shopping,34.05,7,238.35,Credit Card,長崎県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-11-28,Health & Fitness,964.02,9,8676.18,Cash,富山県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-09-04,Travel,2376.39,2,4752.78,Mobile Payment,大阪府,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-04-18,Shopping,1746.16,5,8730.8,Credit Card,徳島県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-05-22,Rent,1148.42,6,6890.52,Cash,大阪府,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-12-21,Food & Drink,75.8,9,682.2,Other,和歌山県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-11-23,Rent,2980.35,2,5960.7,Credit Card,佐賀県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-10-23,Health & Fitness,35.09,4,140.36,Cash,新潟県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-01-18,Shopping,790.51,5,3952.55,Cash,長野県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-05-24,Health & Fitness,1548.24,2,3096.48,Mobile Payment,新潟県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-01-20,Entertainment,233.43,8,1867.44,Mobile Payment,長崎県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-09-04,Shopping,1648.28,1,1648.28,Credit Card,長崎県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-04-05,Rent,2083.59,5,10417.95,Other,福島県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-10-27,Health & Fitness,1874.64,5,9373.2,Cash,北海道,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-01-24,Food & Drink,195.0,7,1365.0,Mobile Payment,宮崎県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-03-01,Entertainment,368.4,9,3315.6,Cash,山形県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-05-27,Food & Drink,204.99,10,2049.9,Cash,大阪府,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-02-21,Travel,1666.26,10,16662.6,Credit Card,山梨県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-12-24,Travel,1909.7,6,11458.2,Cash,石川県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-10-05,Entertainment,36.34,1,36.34,Credit Card,群馬県,Expense
