USERID,Date,Transaction Description,Category,Amount,Type
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-05-13,Expert commercial entire resource.,Travel,4707.83,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-06-20,Boy college mrs.,Entertainment,976.92,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-08-27,Capital program story mention majority.,Other,409.8,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-04-14,Decision where foreign trial.,Travel,344.8,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-05-16,Remember carry.,Utilities,1735.73,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-09-25,Story case.,Utilities,788.69,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-11-02,Draw change agree someone.,Travel,888.51,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-09-24,Cut yard knowledge.,Utilities,2149.02,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-06-23,Land day name small.,Entertainment,502.56,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-02-02,Be move fly open.,Health & Fitness,9289.45,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-07-09,However style.,Food & Drink,1073.43,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-10-05,Assume campaign assume.,Health & Fitness,825.59,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-11-12,Seven project chance road.,Other,3451.08,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-11-01,Face mission brother figure hear.,Shopping,4327.53,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-09-22,Behind front attack song little.,Food & Drink,839.14,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-01-31,White likely teacher one.,Entertainment,3863.2,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-08-06,On must certainly.,Entertainment,174.94,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-03-30,Why though decide bank likely.,Salary,1805.36,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-07-02,New type pm.,Food & Drink,1415.31,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-05-15,Material produce station visit environmental.,Health & Fitness,1876.73,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-07-13,Mind door authority outside.,Health & Fitness,4370.73,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-11-05,Certain camera represent.,Health & Fitness,1305.85,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-11-07,Own test too imagine.,Entertainment,4236.35,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-09-08,Land day name small.,Salary,7685.13,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-04-14,Nation little east everyone.,Food & Drink,4892.88,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-03-04,A value lot.,Health & Fitness,2693.68,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-10-01,Gas teacher national weight all.,Shopping,4450.39,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-07-16,Book economic.,Health & Fitness,58.88,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-08-27,Piece require.,Shopping,430.93,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-07-03,Certain camera represent.,Rent,120.91,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-12-23,Big argue.,Rent,994.53,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-03-08,Likely great paper.,Food & Drink,125.85,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-02-11,Mind easy foreign old.,Other,2397.72,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-01-09,Short for late education.,Shopping,442.16,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-05-18,Project at risk.,Travel,1245.88,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-03-22,Detail data tell.,Entertainment,373.92,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-01-08,Strategy fight institution.,Rent,5.04,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-02-15,Effect people.,Rent,233.59,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-03-10,Boy college mrs.,Food & Drink,1316.29,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-01-24,Mind easy foreign old.,Rent,3855.33,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-12-04,Because career course.,Other,322.64,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-09-18,Break time manager kid.,Travel,2436.22,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-08-14,Into notice necessary true message.,Health & Fitness,1443.79,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-02-29,Heart still building.,Food & Drink,1603.94,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-08-06,Less into per big.,Other,3022.04,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-06-27,Into notice necessary true message.,Investment,4324.71,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-08-23,Across federal state.,Health & Fitness,609.5,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-03-21,Build view.,Shopping,1666.82,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-12-02,Project at risk.,Travel,3648.43,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-03-04,Thought sit identify culture.,Salary,397.45,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-01-07,Training account evidence month.,Shopping,1866.52,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-08-05,Paper beyond indeed.,Food & Drink,1752.9,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-08-16,Among black picture that treat.,Health & Fitness,764.9,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-03-15,Condition again successful.,Salary,3531.35,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-04-03,Leave bar prevent require.,Rent,312.81,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-01-03,Hope floor include.,Utilities,208.95,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-09-26,Need finally when.,Shopping,179.45,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-09-27,Cup red collection husband.,Utilities,128.09,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-04-17,Design blood degree ever.,Travel,559.39,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-12-12,Provide car throughout american.,Other,3496.66,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-06-13,Reach step son.,Other,367.87,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-09-03,Notice street anything.,Travel,1804.93,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-07-07,Research visit program suddenly doctor.,Salary,133.07,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-09-20,Show recently decide last.,Shopping,1444.31,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-06-12,Why though decide bank likely.,Investment,2314.35,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-11-13,Story case.,Food & Drink,1736.1,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-10-10,Already free.,Health & Fitness,4867.12,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-11-09,Gas with policy cut.,Salary,605.0,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-11-30,Recently again explain court.,Rent,280.88,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-02-26,Already free.,Utilities,1973.64,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-12-28,Environment character real middle prove.,Health & Fitness,305.87,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-12-20,Concern should recent across.,Investment,4217.64,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-01-29,Already free.,Food & Drink,4069.41,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-04-14,Increase consider.,Entertainment,2530.66,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-10-15,College manage fund.,Entertainment,422.59,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-07-01,Detail about development discover.,Other,1884.91,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-03-26,Say other never fact.,Shopping,6456.18,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-04-13,Doctor population grow bar.,Investment,4085.43,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-08-29,As personal agreement.,Health & Fitness,1147.79,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-10-25,Wear use edge this draw.,Travel,3131.93,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-09-19,Tell soon executive.,Investment,2590.67,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-11-16,Significant up still management.,Investment,5093.84,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-03-18,Quite as when.,Food & Drink,7316.0,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-08-18,Tell soon executive.,Health & Fitness,127.8,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-04-07,Television argue mouth.,Other,502.15,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-01-23,Open million house enough.,Rent,9805.7,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-07-08,Own test too imagine.,Shopping,699.31,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-10-23,Personal often.,Salary,100.81,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-03-15,Southern front.,Salary,1087.31,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-01-17,Nation little east everyone.,Utilities,845.4,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-06-04,Decision three trouble.,Other,397.88,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-09-12,Board notice later thus.,Health & Fitness,5988.37,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-09-11,Mind door authority outside.,Shopping,206.72,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-11-18,As personal agreement.,Health & Fitness,1686.01,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-02-09,Short congress turn east marriage.,Salary,1744.68,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-10-03,Medical buy series walk large.,Investment,2065.97,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-02-10,Ever day.,Rent,64.51,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-11-08,Onto worry help hope.,Travel,2294.13,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-03-24,Relationship your your.,Food & Drink,7476.85,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-03-08,Right analysis mention.,Entertainment,2395.23,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-10-04,Doctor fine be.,Health & Fitness,2046.83,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-09-10,Item yet ever quite.,Rent,1454.42,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-05-01,Show recently decide last.,Entertainment,1279.45,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-06-18,College manage fund.,Investment,6020.55,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-06-08,Western order accept wide prevent.,Entertainment,3928.34,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-10-12,Nation little east everyone.,Entertainment,1475.45,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-10-20,Real know our any.,Salary,1019.22,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-09-11,Give that individual of not.,Salary,133.69,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-12-03,Mind easy foreign old.,Salary,3911.05,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-06-27,Skill successful and.,Investment,2652.92,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-04-24,Require remain save.,Other,342.39,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-05-18,Us money positive.,Other,64.77,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-08-19,Draw change agree someone.,Utilities,1563.72,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-10-15,Someone religious night buy nice.,Shopping,697.22,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-04-16,Dog late eat.,Investment,1934.87,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-02-10,Southern front.,Utilities,370.81,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-02-12,Teacher decide possible.,Entertainment,92.37,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-02-14,And student give score agree.,Travel,4105.92,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-07-24,Wish current.,Shopping,1733.93,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-02-16,On must certainly.,Rent,8252.53,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-09-19,Listen against coach.,Travel,1916.13,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-12-13,Decision where foreign trial.,Other,4513.32,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-09-27,Someone religious night buy nice.,Food & Drink,638.44,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-05-07,Data exist.,Salary,1700.31,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-03-25,Bed report item.,Health & Fitness,174.67,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-12-03,Decision three trouble.,Rent,3660.46,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-01-27,Somebody prepare few sound.,Travel,6617.93,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-01-04,Someone religious night buy nice.,Entertainment,280.28,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-04-27,Build view.,Food & Drink,627.77,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-04-28,Why though decide bank likely.,Shopping,1909.86,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-02-20,Ground city still.,Entertainment,3702.15,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-08-20,Guess service this different.,Shopping,430.13,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-02-12,Cut yard knowledge.,Health & Fitness,1964.49,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-09-29,Medical buy series walk large.,Rent,2445.85,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-11-23,Research visit program suddenly doctor.,Shopping,534.19,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-08-11,Need finally when.,Health & Fitness,383.24,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-08-04,Pass quite third ability interview.,Utilities,228.54,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-10-08,Television argue mouth.,Travel,448.71,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-09-09,Medical buy series walk large.,Food & Drink,222.56,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-09-13,Say unit four institution.,Entertainment,24.7,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-02-18,Research visit program suddenly doctor.,Entertainment,402.69,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-11-14,Five store ask data.,Investment,150.12,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-11-06,Finish increase economy middle public.,Other,3384.12,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-06-30,Good spend still.,Travel,444.02,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-04-17,Best generation group goal.,Travel,1843.01,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-07-16,A value lot.,Utilities,2837.36,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-01-22,Different international sell several.,Travel,3872.08,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-05-30,Democratic standard major.,Investment,1504.13,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-11-19,Us money positive.,Rent,1941.62,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-12-28,Into notice necessary true message.,Rent,1516.77,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-03-28,Wide shoulder according strong.,Rent,279.03,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-03-11,Listen ok point so.,Other,2544.13,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-08-12,Wear use edge this draw.,Entertainment,218.88,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-08-31,Democratic standard major.,Food & Drink,1864.74,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-09-03,Life bad soon.,Rent,7294.19,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-06-18,Bed recognize store.,Rent,2691.52,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-02-19,Remember carry.,Shopping,1576.31,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-11-18,Magazine yard instead town.,Shopping,2188.7,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-06-20,Find job where.,Travel,3727.31,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-09-05,Magazine yard instead town.,Salary,1209.75,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-01-20,Little result paper seven.,Travel,2052.04,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-01-31,Five store ask data.,Investment,5925.0,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-05-31,Course technology site.,Health & Fitness,1842.08,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-08-13,Why though decide bank likely.,Food & Drink,291.14,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-02-25,Effort drive side human.,Health & Fitness,4905.54,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-05-07,In seven building hard.,Utilities,3539.04,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-09-11,Face mission brother figure hear.,Food & Drink,6344.82,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-08-21,Eat tonight run leader.,Travel,754.97,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-02-11,Paper beyond indeed.,Investment,1302.95,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-04-25,Effort drive side human.,Utilities,692.02,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-11-01,Board notice later thus.,Shopping,1454.52,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-05-22,Design blood degree ever.,Utilities,1949.54,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-11-28,Mind door authority outside.,Entertainment,1898.26,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-07-19,Show recently decide last.,Entertainment,375.02,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-05-13,Up hear draw.,Rent,424.92,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-10-26,Fear song save.,Travel,1961.49,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-06-14,Wish current.,Shopping,66.09,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-07-17,Recognize media goal.,Utilities,412.03,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-12-04,Significant up still management.,Salary,962.62,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-07-24,Real know our any.,Entertainment,611.77,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-07-28,Leave bar prevent require.,Shopping,178.62,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-10-02,Boy college mrs.,Health & Fitness,4916.47,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-04-12,State none production defense your.,Entertainment,1947.43,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-03-05,Pressure activity defense detail.,Health & Fitness,2334.53,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-10-06,City offer financial data.,Investment,5874.7,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-03-19,Play woman remain event.,Entertainment,5390.91,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-11-13,Leg drive second she.,Rent,1627.79,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-03-13,Listen ok point so.,Rent,3672.37,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-06-06,Real know our any.,Health & Fitness,1709.83,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-07-06,Detail about development discover.,Salary,8403.36,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-03-15,Big argue.,Utilities,2071.62,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-12-12,Man care resource.,Food & Drink,2571.14,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-08-14,Already free.,Investment,1259.7,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-07-03,Provide car throughout american.,Health & Fitness,1828.81,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-10-22,On must certainly.,Health & Fitness,2202.86,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-06-22,A let.,Other,373.65,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-10-15,Be move fly open.,Food & Drink,255.04,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-02-09,Decision where foreign trial.,Salary,1643.83,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-10-14,Mother first hot free.,Utilities,324.77,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-11-20,Find job where.,Investment,1170.55,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-02-06,Yeah exist behavior necessary miss.,Other,3185.82,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-08-18,Rate society floor long same.,Health & Fitness,223.52,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-08-08,Sure i pay.,Entertainment,2678.43,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-11-11,My serious whatever miss seek.,Health & Fitness,5073.67,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-08-15,City offer financial data.,Other,3790.77,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-04-24,Ground city still.,Rent,3008.71,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-04-11,Own test too imagine.,Shopping,55.23,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-06-01,Expert commercial entire resource.,Food & Drink,419.4,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-03-01,Medical buy series walk large.,Salary,6529.25,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-10-10,Remember carry.,Food & Drink,212.29,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-07-14,Likely great paper.,Investment,333.14,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-06-05,Beyond family movement hospital back.,Salary,999.55,Income
